OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,Regions (Included),Regions (Excluded),Interests,CreativeUrls
Krist for Nebraska,534,246662,USD,,Krist for Nebraska,,18+,united states,"919 Central Avenue,Lincoln,68305,US",Nebraska,,,https://www.snap.com/political-ads/asset/67ba8444420b157fb9d2c3e6e9ce41feda33306fa0807d97bb635fa0d31e1ced?mediaType=mp4
The Labour Party,508,210769,GBP,,The Labour Party,,18-24,united kingdom,"Kings Manor,Newcastle,NE16PA,GB",,,,https://www.snap.com/political-ads/asset/eb9a126fb9089c84fbd50bae132eb76bd3f2fc0459a4a5ddd6bf233ab2688241?mediaType=mp4
Luton Borough Council,499,265739,GBP,,BSBT,,,united kingdom,"36 Golden Square,London,w1f 9jx,GB",Rotherham,,,https://www.snap.com/political-ads/asset/8a8cb3485665378989afaaeeccfadb10ed195be7b85d98e1c045fecd04caf75d?mediaType=mp4
STG,499,235579,USD,,Protect Our Care,,18+,united states,US,"Alaska,Maine,Nevada",,,https://www.snap.com/political-ads/asset/f674d50acf09bf5e1c2849965241ec6cf96fc53cdffebdd1f9fe12a741e844d9?mediaType=png
Friends of James Skoufis,488,103948,USD,,Friends of James Skoufis,,18+,united states,US,,,,https://www.snap.com/political-ads/asset/2c21caaf7d23306c2061ec754c4db9a50febf75bb90bccc0b130e30f11f2c1d1?mediaType=png
Wyoming Democratic Party,473,147933,USD,,Wyoming Democratic Party,,18+,united states,US,Wyoming,,,https://www.snap.com/political-ads/asset/230fe107f836b4addc366099f2c78258d9c41abf4df09bf765e1d41683495b7c?mediaType=mp4
Crunch DMC,415,578436,GBP,,Crunch Simply Digital,,18-,united kingdom,GB,"Dudley,Wolverhampton,Sandwell,Solihull,Walsall,Birmingham,Coventry",,,https://www.snap.com/political-ads/asset/2b61458c6a8fdf9cc83df8b4773e76bc16bc50eb18867f8af873aff862b6e3c3?mediaType=mp4
Pro Rep is Lit,398,99815,CAD,,Pro Rep is Lit,,,canada,CA,,,,https://www.snap.com/political-ads/asset/82687fec5aab10fbaaf27233348fe01c0b9a4b09b51e37d065987670002db578?mediaType=mp4
Civiqs,395,133683,USD,,Civiqs,,18+,united states,US,Florida,,"Political News Watchers,ZZ_Deprecated_1,TV Viewers (Reality TV)",https://www.snap.com/political-ads/asset/c8ab2de346912fae2e0bf964feac24cccc53e61b61a9c9417f37811c965ddaff?mediaType=mp4
House Victory Committee,387,158971,USD,,House Victory Committee,,18-30,united states,US,,,"Advocates & Activists,Arts & Culture Mavens,Bookworms & Avid Readers,Coffee Lovers,Collegiates,Cordcutters,Cycling Enthusiasts,Fashion & Style Gurus,Fitness Enthusiasts,Foodies,Green Living Enthusiasts,Hipsters & Trendsetters,Indie & Alternative Music Fans,Indie & Foreign Film Fans,Math & Science Enthusiasts,News Watchers,Olympics Enthusiasts,Outdoor & Nature Enthusiasts,Pet & Animal Lovers,Philanthropists,Photographers,Running Enthusiasts,Sci-fi & Fantasy Fans,Sharp-Dressed Men,Sneakerheads,Social Drinkers,Techies & Gadget Fans,Teen & Young Adult Genre Fans,Urban & Hip-Hop Music Fans,Vegans & Organic Foodies,Wine Enthusiasts,Yoga Enthusiasts",https://www.snap.com/political-ads/asset/6eb77396315d7c6d1a115dd2ddbce2927f4ea6afd6efc6dd2fd884115258b6b6?mediaType=mp4
